ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
1998;;;;;;3.0;21.0;21.0;44.0;6.0;6.0;1.0
1999;;;;1.0;7.0;8.0;14.0;89.0;192.0;30.0;16.0;
2000;;1.0;;2.0;5.0;14.0;22.0;34.0;16.0;25.0;2.0;
2001;;3.0;;2.0;4.0;13.0;57.0;127.0;60.0;33.0;4.0;2.0
2002;;1.0;1.0;8.0;4.0;13.0;52.0;251.0;81.0;332.0;17.0;14.0
2003;2.0;17.0;33.0;24.0;32.0;155.0;235.0;250.0;224.0;117.0;10.0;12.0
2004;3.0;6.0;5.0;12.0;13.0;55.0;51.0;151.0;338.0;40.0;60.0;16.0
2005;13.0;9.0;15.0;13.0;25.0;51.0;59.0;243.0;67.0;168.0;18.0;6.0
2006;18.0;11.0;14.0;16.0;56.0;148.0;301.0;322.0;243.0;34.0;7.0;2.0
2007;;21.0;45.0;31.0;29.0;46.0;134.0;330.0;422.0;295.0;12.0;4.0
2008;2.0;3.0;4.0;2.0;33.0;29.0;136.0;134.0;177.0;59.0;2.0;9.0
2009;4.0;3.0;6.0;8.0;40.0;46.0;67.0;95.0;94.0;20.0;31.0;8.0
2010;6.0;86.0;4.0;6.0;23.0;109.0;108.0;355.0;361.0;43.0;26.0;10.0
2011;9.0;46.0;4.0;4.0;15.0;45.0;122.0;223.0;504.0;109.0;15.0;5.0
2012;6.0;12.0;12.0;5.0;12.0;11.0;62.0;76.0;173.0;162.0;12.0;8.0
2013;5.0;15.0;3.0;4.0;14.0;21.0;60.0;83.0;118.0;37.0;26.0;6.0
2014;26.0;107.0;25.0;9.0;13.0;39.0;44.0;185.0;315.0;473.0;31.0;16.0
2015;86.0;28.0;15.0;8.0;16.0;21.0;67.0;141.0;74.0;78.0;3.0;5.0
2016;1.0;6.0;3.0;40.0;24.0;30.0;127.0;219.0;177.0;28.0;17.0;5.0
2017;12.0;24.0;8.0;11.0;16.0;41.0;59.0;124.0;439.0;182.0;39.0;4.0
2018;4.0;;5.0;2.0;7.0;32.0;74.0;29.0;65.0;13.0;2.0;13.0
2019;36.0;21.0;3.0;;18.0;47.0;141.0;157.0;208.0;70.0;5.0;6.0
2020;7.0;10.0;6.0;10.0;26.0;40.0;130.0;162.0;237.0;52.0;9.0;4.0
2021;18.0;4.0;16.0;7.0;15.0;25.0;129.0;165.0;105.0;5.0;11.0;2.0
2022;16.0;4.0;30.0;12.0;20.0;45.0;180.0;181.0;219.0;33.0;5.0;2.0
2023;6.0;10.0;10.0;3.0;16.0;34.0;97.0;95.0;106.0;7.0;23.0;7.0
2024;9.0;;;;;;;;;;;
